device_name,opt_in,category,setting
Unknown Device,OS_NOTIFICATIONS,MOBILE_PUSH_NOTIFICATION_SETTINGS,Yes
Unknown Device,TarazedNotification,MOBILE_PUSH_NOTIFICATION_SETTINGS,Yes
Unknown Device,TarazedNotification,MOBILE_PUSH_NOTIFICATION_SETTINGS,Yes
