customer_id,event_name,event_timestamp,device_platform_name,device_make,device_model,description
A1IWF85Y76DUZP,react.lmnt.device-oobe/state.alexa-oobe.DynamicFirstAidView.presentation.mobilytics-interaction,2023-01-16 15:30:17.642,iOS,Apple,"iPhone14,2",Alexa Mobile Event
A1IWF85Y76DUZP,react.lmnt.device-oobe/state.enterWifiCredentials.save=true.mobilytics-interaction,2023-01-16 15:30:28.837,iOS,Apple,"iPhone14,2",Alexa Mobile Org Platform Elements
A1IWF85Y76DUZP,react.lmnt.device-oobe/state.enterWifiCredentials.continue.mobilytics-interaction,2023-01-16 15:30:28.837,iOS,Apple,"iPhone14,2",Alexa Mobile Org Platform Elements
A1IWF85Y76DUZP,react.lmnt.device-oobe/state.alexa-oobe.EnterWifiCredentialsView.presentation.mobilytics-interaction,2023-01-16 15:30:28.848,iOS,Apple,"iPhone14,2",Alexa Mobile Org Platform Elements
A1IWF85Y76DUZP,react.lmnt.device-oobe/state.alexa-oobe.WifiPreparingYourEchoView.presentation.mobilytics-interaction,2023-01-16 15:30:35.313,iOS,Apple,"iPhone14,2",Alexa Mobile Org Platform Elements
A1IWF85Y76DUZP,react.lmnt.device-oobe/state.alexa-oobe.UgsErrorHandlerView.presentation.mobilytics-interaction,2023-01-16 15:30:35.377,iOS,Apple,"iPhone14,2",Alexa Mobile Event
A1IWF85Y76DUZP,react.lmnt.device-oobe/state.alexa-oobe.ManualSetupView.presentation.mobilytics-interaction,2023-01-16 15:30:46.014,iOS,Apple,"iPhone14,2",Alexa Mobile Org Platform Elements
A1IWF85Y76DUZP,react.lmnt.device-oobe/state.alexa-oobe.LocalNetworkPermissionView.presentation.mobilytics-interaction,2023-01-16 15:30:48.214,iOS,Apple,"iPhone14,2",Alexa App Devices OOBE / Device Setup
A1IWF85Y76DUZP,react.lmnt.device-oobe/state.checkSetup.continue.mobilytics-interaction,2023-01-16 15:31:00.675,iOS,Apple,"iPhone14,2",Alexa Mobile Event
A1IWF85Y76DUZP,react.lmnt.device-oobe/state.alexa-oobe.CheckSetupInstructionsEchoSmartSpeakersView.presentation.mobilytics-interaction,2023-01-16 15:31:00.682,iOS,Apple,"iPhone14,2",Alexa App Devices OOBE / Device Setup
A1IWF85Y76DUZP,react.lmnt.device-oobe/state.alexa-oobe.AutoConnectToEchoView.presentation.mobilytics-interaction,2023-01-16 15:31:28.789,iOS,Apple,"iPhone14,2",Alexa App Devices OOBE / Device Setup
A1IWF85Y76DUZP,react.lmnt.device-oobe/state.configuredNetworkSelected.mobilytics-interaction,2023-01-16 15:31:35.463,iOS,Apple,"iPhone14,2",Alexa App Devices OOBE / Device Setup
A1IWF85Y76DUZP,react.lmnt.device-oobe/state.alexa-oobe.SoftAPSelectWifiNetworkView.presentation.mobilytics-interaction,2023-01-16 15:31:35.467,iOS,Apple,"iPhone14,2",Alexa App Devices OOBE / Device Setup
A1IWF85Y76DUZP,react.lmnt.device-oobe/state.alexa-oobe.SoftAPConnectToNetworkView.presentation.mobilytics-interaction,2023-01-16 15:31:39.237,iOS,Apple,"iPhone14,2",Alexa App Devices OOBE / Device Setup
A1IWF85Y76DUZP,view,2023-01-22 08:09:58.213,iOS,Apple,"iPhone14,2",Alexa Mobile Event
A1IWF85Y76DUZP,Enter,2023-01-22 08:09:58.445,iOS,Apple,"iPhone14,2",Alexa MXBR Frontend
A1IWF85Y76DUZP,alexa-growth-app-only-flag,2023-01-22 08:09:59.476,iOS,Apple,"iPhone14,2",Alexa MXBR Frontend
A1IWF85Y76DUZP,alexa-growth-app-only-flag,2023-01-22 08:09:59.476,iOS,Apple,"iPhone14,2",Alexa Mobile P13N
A1IWF85Y76DUZP,CardClick,2023-01-22 08:10:01.362,iOS,Apple,"iPhone14,2",Alexa Mobile P13N
A1IWF85Y76DUZP,CardClick,2023-01-22 08:10:01.362,iOS,Apple,"iPhone14,2",Alexa MXBR Frontend
